,CarPosition
0,-0.52741385
1,-0.5243451
2,-0.51977074
3,-0.5137251
4,-0.5062535
5,-0.49741188
6,-0.48726648
7,-0.47589305
8,-0.4633762
9,-0.44980854
10,-0.4352898
11,-0.41992566
12,-0.4038266
13,-0.38710663
14,-0.369882
15,-0.35226977
16,-0.3343867
17,-0.31634775
18,-0.29826492
19,-0.2802463
20,-0.26239493
21,-0.2448082
22,-0.227577
23,-0.21078543
24,-0.19451046
25,-0.1788218
26,-0.16378194
27,-0.14944632
28,-0.13586363
29,-0.12307613
30,-0.11112015
31,-0.10002653
32,-0.0898212
33,-0.08052565
34,-0.07215751
35,-0.06473102
36,-0.058257535
37,-0.052745968
38,-0.04820317
39,-0.044634275
40,-0.042043004
41,-0.040431872
42,-0.039802372
43,-0.04015507
44,-0.041489653
45,-0.04380489
46,-0.047098573
47,-0.051367342
48,-0.056606486
49,-0.06280967
50,-0.069968596
51,-0.07807265
52,-0.08710845
53,-0.09705937
54,-0.10790505
55,-0.11962089
56,-0.13217747
57,-0.14554006
58,-0.15966812
59,-0.17451482
60,-0.19002664
61,-0.20614311
62,-0.22279656
63,-0.23991205
64,-0.2574075
65,-0.27519384
66,-0.29317552
67,-0.31125098
68,-0.3293135
69,-0.34725204
70,-0.36495236
71,-0.38229808
72,-0.39917213
73,-0.41545784
74,-0.43104047
75,-0.44580838
76,-0.45965445
77,-0.47247717
78,-0.4841818
79,-0.49468136
80,-0.50389755
81,-0.51176137
82,-0.518214
83,-0.52320695
84,-0.5267029
85,-0.52867556
86,-0.52911013
87,-0.5280034
88,-0.5253636
89,-0.5212106
90,-0.51557547
91,-0.5085005
92,-0.50003874
93,-0.49025354
94,-0.479218
95,-0.46701434
96,-0.45373303
97,-0.4394719
98,-0.42433503
99,-0.40843168
